Image Filename,Original File,Cleaned File,Branding Removed Yes/No,Branding Still Visible Yes/No,Garment Altered Yes/No,Color Altered Yes/No,Embroidery/Fabric Altered Yes/No,Model/Product Shape Altered Yes/No,Quality Issue Yes/No,Approved For Shopify Yes/No,Reason
luxemia-pink-embroidered-lehenga-choli-with-dupatta-for-weddings-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-embroidered-lehenga-choli-with-dupatta-for-weddings-image-3.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-pink-embroidered-lehenga-choli-with-dupatta-for-weddings-image-3.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (8934 after vs 53720 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-pink-embroidered-lehenga-choli-with-dupatta-for-weddings-image-4.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pink-embroidered-lehenga-choli-with-dupatta-for-weddings-image-4.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-pink-embroidered-lehenga-choli-with-dupatta-for-weddings-image-4.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-pistachio-embroidered-lehenga-choli-with-dupatta-for-weddings-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pistachio-embroidered-lehenga-choli-with-dupatta-for-weddings-image-1.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-pistachio-embroidered-lehenga-choli-with-dupatta-for-weddings-image-1.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (118091 after vs 28940 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-pistachio-embroidered-lehenga-choli-with-dupatta-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pistachio-embroidered-lehenga-choli-with-dupatta-for-weddings-image-2.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-pistachio-embroidered-lehenga-choli-with-dupatta-for-weddings-image-2.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (117942 after vs 35401 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-pistachio-rust-brown-mirror-palazzo-set-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-pistachio-rust-brown-mirror-palazzo-set-for-festive-events-image-3.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-pistachio-rust-brown-mirror-palazzo-set-for-festive-events-image-3.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-green-stone-skirt-set-for-festive-events-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-green-stone-skirt-set-for-festive-events-image-2.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-green-stone-skirt-set-for-festive-events-image-2.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
luxemia-blue-pistachio-peach-mirror-skirt-set-for-festive-events-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-blue-pistachio-peach-mirror-skirt-set-for-festive-events-image-1.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-blue-pistachio-peach-mirror-skirt-set-for-festive-events-image-1.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (122695 after vs 121910 before). Unmasked lower/central logo-like branding still appears likely (score 196). Warning: large mask area; inspect for garment/background distortion.
luxemia-blue-pistachio-peach-mirror-skirt-set-for-festive-events-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-blue-pistachio-peach-mirror-skirt-set-for-festive-events-image-2.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-blue-pistachio-peach-mirror-skirt-set-for-festive-events-image-2.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (121403 after vs 67685 before). Unmasked lower/central logo-like branding still appears likely (score 182). Warning: large mask area; inspect for garment/background distortion.
luxemia-blue-pistachio-peach-mirror-skirt-set-for-festive-events-image-3.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-blue-pistachio-peach-mirror-skirt-set-for-festive-events-image-3.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-blue-pistachio-peach-mirror-skirt-set-for-festive-events-image-3.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (121991 after vs 102222 before). Warning: large mask area; inspect for garment/background distortion.
luxemia-orange-turquoise-rani-mirror-lehenga-choli-with-dupatta-for-weddings-image-1.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-orange-turquoise-rani-mirror-lehenga-choli-with-dupatta-for-weddings-image-1.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-orange-turquoise-rani-mirror-lehenga-choli-with-dupatta-for-weddings-image-1.jpg,No,Yes,No,No,No,No,Yes,No,Logo-color pixels remain in mask (119105 after vs 118286 before). Unmasked lower/central logo-like branding still appears likely (score 200). Warning: large mask area; inspect for garment/background distortion.
luxemia-orange-turquoise-rani-mirror-lehenga-choli-with-dupatta-for-weddings-image-2.jpg,luxemia_supplier_REJECTED_BRANDED_IMAGES/luxemia-orange-turquoise-rani-mirror-lehenga-choli-with-dupatta-for-weddings-image-2.jpg,luxemia_image_cleaning_tool/cleaned_attempts/luxemia-orange-turquoise-rani-mirror-lehenga-choli-with-dupatta-for-weddings-image-2.jpg,Yes,No,No,No,No,No,Yes,No,Warning: large mask area; inspect for garment/background distortion.
