Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost,Included / International,Price / International,Compare At Price / International,Status
georgette-peach-wedding-wear-hand-work-readymade-plazzo-suit,Georgette Peach Wedding Wear Hand Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"bridal-suit, ethnic-suit, free-shipping, georgette, hand-work, indian-ethnic-wear, indian-suit, luxemia, peach, wedding-suit, wedding-wear",TRUE,Size,40,Color,Peach,,,LXM-390137-40,,shopify,10,deny,manual,118.47,,TRUE,TRUE,,,,,FALSE,Georgette Peach Wedding Wear Hand Work Readymade Palazzo ...,Shop this Peach Georgette wedding suit for wedding wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
georgette-peach-wedding-wear-hand-work-readymade-plazzo-suit,,,,,,,,,42,,Peach,,,LXM-390137-42,,shopify,10,deny,manual,118.47,,TRUE,TRUE,,,,,,,,,kg,,,,,,
chinon-silk-violet-wedding-wear-sequins-work-readymade-plazzo-suit,Chinon Silk Violet Wedding Wear Sequins Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"bridal-suit, chinon-silk, ethnic-suit, free-shipping, indian-ethnic-wear, indian-suit, luxemia, sequins-work, violet, wedding-suit, wedding-wear",TRUE,Size,40,Color,Violet,,,LXM-390099-40,,shopify,10,deny,manual,82.54,,TRUE,TRUE,,,,,FALSE,Chinon Silk Violet Wedding Wear Sequins Work Readymade Pa...,Shop this Violet Chinon Silk wedding suit for wedding wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
chinon-silk-violet-wedding-wear-sequins-work-readymade-plazzo-suit,,,,,,,,,42,,Violet,,,LXM-390099-42,,shopify,10,deny,manual,82.54,,TRUE,TRUE,,,,,,,,,kg,,,,,,
chinon-silk-violet-wedding-wear-sequins-work-readymade-plazzo-suit,,,,,,,,,44,,Violet,,,LXM-390099-44,,shopify,10,deny,manual,82.54,,TRUE,TRUE,,,,,,,,,kg,,,,,,
chinon-silk-magenta-wedding-wear-sequins-work-readymade-plazzo-suit,Chinon Silk Magenta Wedding Wear Sequins Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"bridal-suit, chinon-silk, ethnic-suit, free-shipping, indian-ethnic-wear, indian-suit, luxemia, magenta, sequins-work, wedding-suit, wedding-wear",TRUE,Size,40,Color,Magenta,,,LXM-390098-40,,shopify,10,deny,manual,82.54,,TRUE,TRUE,,,,,FALSE,Chinon Silk Magenta Wedding Wear Sequins Work Readymade P...,Shop this Magenta Chinon Silk wedding suit for wedding wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
chinon-silk-magenta-wedding-wear-sequins-work-readymade-plazzo-suit,,,,,,,,,42,,Magenta,,,LXM-390098-42,,shopify,10,deny,manual,82.54,,TRUE,TRUE,,,,,,,,,kg,,,,,,
chinon-silk-magenta-wedding-wear-sequins-work-readymade-plazzo-suit,,,,,,,,,44,,Magenta,,,LXM-390098-44,,shopify,10,deny,manual,82.54,,TRUE,TRUE,,,,,,,,,kg,,,,,,
chinon-silk-olive-green-wedding-wear-sequins-work-readymade-plazzo-suit,Chinon Silk Olive Green Wedding Wear Sequins Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"bridal-suit, chinon-silk, ethnic-suit, free-shipping, indian-ethnic-wear, indian-suit, luxemia, olive-green, sequins-work, wedding-suit, wedding-wear",TRUE,Size,40,Color,Olive green,,,LXM-390097-40,,shopify,10,deny,manual,82.54,,TRUE,TRUE,,,,,FALSE,Chinon Silk Olive Green Wedding Wear Sequins Work Readyma...,Shop this Olive Green Chinon Silk wedding suit for wedding wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
chinon-silk-olive-green-wedding-wear-sequins-work-readymade-plazzo-suit,,,,,,,,,42,,Olive green,,,LXM-390097-42,,shopify,10,deny,manual,82.54,,TRUE,TRUE,,,,,,,,,kg,,,,,,
chinon-silk-olive-green-wedding-wear-sequins-work-readymade-plazzo-suit,,,,,,,,,44,,Olive green,,,LXM-390097-44,,shopify,10,deny,manual,82.54,,TRUE,TRUE,,,,,,,,,kg,,,,,,
chinon-silk-orange-wedding-wear-sequins-work-readymade-plazzo-suit,Chinon Silk Orange Wedding Wear Sequins Work Readymade Palazzo Suit,,LuxeMia,,Wedding Suit,"bridal-suit, chinon-silk, ethnic-suit, free-shipping, indian-ethnic-wear, indian-suit, luxemia, orange, sequins-work, wedding-suit, wedding-wear",TRUE,Size,40,Color,Orange,,,LXM-390096-40,,shopify,10,deny,manual,82.54,,TRUE,TRUE,,,,,FALSE,Chinon Silk Orange Wedding Wear Sequins Work Readymade Pa...,Shop this Orange Chinon Silk wedding suit for wedding wear. Free shipping worldwide. Shop Indian ethnic wear at LuxeMia.Shop.,,kg,,,,,,active
chinon-silk-orange-wedding-wear-sequins-work-readymade-plazzo-suit,,,,,,,,,42,,Orange,,,LXM-390096-42,,shopify,10,deny,manual,82.54,,TRUE,TRUE,,,,,,,,,kg,,,,,,
